SampType,ParkCode,NETNCode,Description,Latitude,Longitude,Date,SampEventCode,Year,Rep,Depth_m,Temp_C,DO_mgL,DO_PerSat,pH,SpCond,Turbidity,Discharge,pH,ANC,AppColor,DOC,TP,TN,NO3,NO2,NH3,NO3_ueqL,Cl,SO4
NETNStreams,ACAD,ACLVYB,Lurvey Brook,0,0,6/29/2007,93,2007,,0.22,13.88,9.69,93.7,4.63,41,,0.013,,,,,,,,,,,,
NETNStreams,ACAD,ACLVYB,Lurvey Brook,0,0,7/26/2007,106,2007,,0.32,16.8,9.19,94.7,5.19,35,,0.014,,,,,,,,,,,,
NETNStreams,ACAD,ACLVYB,Lurvey Brook,0,0,8/15/2007,113,2007,,0.21,13.78,9.6,92.7,4.95,43,,0.0087,5.36,19.50,113,,38,0.166,,,,,,
NETNStreams,ACAD,ACLVYB,Lurvey Brook,0,0,9/17/2007,127,2007,,0.27,10.3,11.11,99.1,5.15,52,,0.024,,,,,,,,,,,,
NETNStreams,ACAD,ACLVYB,Lurvey Brook,0,0,10/11/2007,138,2007,,0.10,11.33,9.16,83.7,,49,,0.005538,5.72,,,,,,,,,,,
NETNStreams,ACAD,ACLVYB,Lurvey Brook,44.278824,-68.357994,5/18/2009,3090,2009,,0.28,7.96,11.51,97.1,4.5,44,,0.81,4.47,-13.60,112,,7.9,0.209,,<MRL 0.005,<MRL 0.08,,,
NETNStreams,ACAD,ACLVYB,Lurvey Brook,44.278782,-68.35791,6/2/2009,3094,2009,,0.10,10.05,10.79,95.7,4.47,45,,0.941,,,,,,,,,,,,
NETNStreams,ACAD,ACLVYB,Lurvey Brook,44.27898,-68.357864,7/9/2009,3108,2009,,0.48,13.25,10,95.4,4.57,38,,0.7,,,,,,,,,,,,
NETNStreams,ACAD,ACLVYB,Lurvey Brook,44.27895,-68.357903,8/17/2009,3123,2009,,0.27,16.92,9.04,93.4,4.95,39,,0.054,4.97,8.40,138,,16,0.26,,<MRL 0.005,<MRL 0.08,,,
NETNStreams,ACAD,ACLVYB,Lurvey Brook,44.278957,-68.357712,9/15/2009,3133,2009,,0.12,13.68,9.9,95.4,5.03,33,,0.121,,,,,,,,,,,,
NETNStreams,ACAD,ACLVYB,Lurvey Brook,44.278683,-68.357559,10/1/2009,3136,2009,,0.16,11.23,10.6,96.6,4.68,42,,0.223,,,,,,,,,,,,
NETNStreams,ACAD,ACLVYB,Lurvey Brook,0,0,5/24/2011,3356,2011,,0.04,8.84,11.15,96.1,4.65,37,,0.752,4.59,-9.90,98,,5.8,0.218,,<MRL 0.005,<MRL 0.08,,,
NETNStreams,ACAD,ACLVYB,Lurvey Brook,0,0,5/24/2011,3356,2011,,0.04,8.84,11.15,96.1,4.65,37,,0.752,4.59,-9.90,98,,5.8,0.218,,<MRL 0.005,<MRL 0.08,,,
NETNStreams,ACAD,ACLVYB,Lurvey Brook,0,0,5/24/2011,3356,2011,,0.04,8.84,11.15,96.1,4.65,37,,0.752,4.59,-9.90,98,,5.8,0.218,,<MRL 0.005,<MRL 0.08,,,
NETNStreams,ACAD,ACLVYB,Lurvey Brook,0,0,5/24/2011,3356,2011,,0.04,8.84,11.15,96.1,4.65,37,,0.752,4.59,-9.90,98,,5.8,0.218,,<MRL 0.005,<MRL 0.08,,,
NETNStreams,ACAD,ACLVYB,Lurvey Brook,0,0,6/8/2011,3368,2011,,0.09,13.11,9.99,95,4.88,35,,0.135,,,,,,,,,,,,
NETNStreams,ACAD,ACLVYB,Lurvey Brook,0,0,7/21/2011,3383,2011,,-0.10,17.75,7.65,80.4,5.46,40,,0.004,,,,,,,,,,,,
NETNStreams,ACAD,ACLVYB,Lurvey Brook,0,0,7/21/2011,3383,2011,,0.21,16.18,5.17,52.5,5.53,44,,0.004,,,,,,,,,,,,
NETNStreams,ACAD,ACLVYB,Lurvey Brook,44.278767,-68.357613,8/2/2011,3421,2011,,-0.11,16.14,8.26,83.9,5.57,39,,0.011,5.75,32.10,125,,24,0.289,,<MRL 0.005,<MRL 0.08,,,
NETNStreams,ACAD,ACLVYB,Lurvey Brook,44.278767,-68.357613,8/2/2011,3421,2011,,-0.11,16.14,8.26,83.9,5.57,39,,0.011,5.75,32.30,131,,26,0.331,,<MRL 0.005,<MRL 0.08,,,
NETNStreams,ACAD,ACLVYB,Lurvey Brook,44.278751,-68.357506,9/15/2011,3441,2011,,-0.12,15.38,9.14,91.4,5.52,42,,0.011,,,,,,,,,,,,
NETNStreams,ACAD,ACLVYB,Lurvey Brook,0,0,10/3/2011,3442,2011,,0.05,14.2,9.66,94.1,4.26,57,,1.128,,,,,,,,,,,,
NETNStreams,ACAD,ACLVYB,Lurvey Brook,44.2788,-68.3578,5/15/2013,3608,2013,,0.28,9.19,11.07,96.2,4.9,42,0.41,0.158,4.96,-2.20,98,8.32,6.9,0.172,<MRL,<MRL 0.005,<MRL 0.08,<MRL 1,213,71
NETNStreams,ACAD,ACLVYB,Lurvey Brook,44.2788,-68.3577,6/10/2013,3635,2013,,0.17,12.48,10.36,97.2,4.54,41,0.1,1.677,,,,,,,,,,,,
NETNStreams,ACAD,ACLVYB,Lurvey Brook,44.2788,-68.358,7/15/2013,3658,2013,,0.12,18.26,9.01,95.7,5.16,40,0.73,0.127,,,,,,,,,,,,
NETNStreams,ACAD,ACLVYB,Lurvey Brook,44.2788,-68.358,8/5/2013,3686,2013,,0.10,15.34,9.38,93.7,4.67,40,0,0.435,4.76,-2.40,192,16.7,9.7,0.35,<MRL,<MRL 0.005,<MRL 0.08,<MRL 1,171,32
NETNStreams,ACAD,ACLVYB,Lurvey Brook,44.2787,-68.3577,9/6/2013,3700,2013,,0.12,14.23,9.9,96.5,3.69,40,0.31,1.12,,,,,,,,,,,,
NETNStreams,ACAD,ACLVYB,Lurvey Brook,44.2789,-68.3577,10/17/2013,3720,2013,,0.17,11.3,9.99,91.2,5.38,42,0,0.054,,,,,,,,,,,,
NETNStreams,ACAD,ACLVYB,Lurvey Brook,44.279,-68.358,5/7/2015,5007,2015,,0.14,8.74,11.43,98.3,4.78,35,0.67,0.187,5.12,-2.11,97,5.8,6.1,0.147,<MRL,0.0018,0.032,<MRL 1,151.238714285714,66.9853125
NETNStreams,ACAD,ACLVYB,Lurvey Brook,44.2788,-68.3579,6/4/2015,5015,2015,,0.10,8.96,11.33,97.9,4.4,38,0.24,0.428,,,,,,,,,,,,
NETNStreams,ACAD,ACLVYB,Lurvey Brook,44.2788,-68.3579,7/6/2015,5023,2015,,0.19,14.7,9.8,96.5,4.41,35,0.15,0.221,,,,,,,,,,,,
NETNStreams,ACAD,ACLVYB,Lurvey Brook,44.2836,-68.3592,8/10/2015,4911,2015,,0.10,15.46,9.43,94.5,5.99,39,0.69,0,5.883,34.98,98.108,6.3,13.9,0.154,0.021,0.002,,1.5,173,69.9
NETNStreams,ACAD,ACLVYB,Lurvey Brook,44.2788,-68.3579,9/9/2015,4920,2015,,0.09,16.86,8.15,84.1,5.86,40,0.52,0,,,,,,,,,,,,
NETNStreams,ACAD,ACLVYB,Lurvey Brook,44.2789,-68.358,10/1/2015,4925,2015,,0.10,13.56,9.7,93.2,4.14,64,0.7,1.137,,,,,,,,,,,,
NETNStreams,ACAD,ACLSIE,Lurvey Spring Brook (Echo Lake inlet),,,5/24/2006,65,2006,,0.36,9.08,10.73,93,6.22,70,,0.52,,,,,,,,,,,,
NETNStreams,ACAD,ACLSIE,Lurvey Spring Brook (Echo Lake inlet),0,0,6/27/2006,10,2006,,0.23,12.06,9.82,91.2,5.81,57,,1.74,,,40,,<MRL 20,0.12,,<MRL 0.002,<MRL 0.01,,,
NETNStreams,ACAD,ACLSIE,Lurvey Spring Brook (Echo Lake inlet),44.310349,-68.335602,7/25/2006,20,2006,,0.10,14.82,9.17,90.6,5.8,51,,1.67,,,,,,,,,,,,
NETNStreams,ACAD,ACLSIE,Lurvey Spring Brook (Echo Lake inlet),0,0,8/31/2006,36,2006,,0.10,11.56,10.56,97.1,6.87,84,,0.402,,,25,,3,0.1,,<MRL 0.002,0.005,,,
NETNStreams,ACAD,ACLSIE,Lurvey Spring Brook (Echo Lake inlet),0,0,9/12/2006,43,2006,,0.00,10.09,10.53,93.5,6.26,84,,0.237,,,,,,,,,,,,
NETNStreams,ACAD,ACLSIE,Lurvey Spring Brook (Echo Lake inlet),44.310822,-68.335693,10/18/2006,52,2006,,-0.02,10.44,9.69,86.8,5.2,59,,2.44,,,,,,,,,,,,
NETNStreams,ACAD,ACLSIE,Lurvey Spring Brook (Echo Lake inlet),44.31041,-68.335548,5/22/2008,153,2008,,0.08,8.01,10.87,91.8,6.39,79,,0.478,6.53,120.00,22,,3.5,<MRL 0.1,,<MRL 0.005,,,,
NETNStreams,ACAD,ACLSIE,Lurvey Spring Brook (Echo Lake inlet),44.311443,-68.335938,6/5/2008,160,2008,,0.26,10.55,10.85,97.4,6.25,70,,0.605,,,,,,,,,,,,
NETNStreams,ACAD,ACLSIE,Lurvey Spring Brook (Echo Lake inlet),44.31139,-68.33577,7/1/2008,170,2008,,0.16,12.66,10.01,94.2,6.41,82,,0.333,,,,,,,,,,,,
NETNStreams,ACAD,ACLSIE,Lurvey Spring Brook (Echo Lake inlet),44.31134,-68.335915,8/7/2008,189,2008,,0.07,13.26,9.38,89.6,5.74,55,,1.2,5.9,49.60,47,,4.7,0.163,,<MRL 0.005,,,,
NETNStreams,ACAD,ACLSIE,Lurvey Spring Brook (Echo Lake inlet),44.311619,-68.335899,9/15/2008,205,2008,,0.08,13.89,9.16,88.7,5.72,59,,1.47,,,,,,,,,,,,
NETNStreams,ACAD,ACLSIE,Lurvey Spring Brook (Echo Lake inlet),44.311295,-68.336082,10/6/2008,210,2008,,0.37,9.81,10.11,89.2,6.04,60,,1.38,,,,,,,,,,,,
NETNStreams,ACAD,ACLSIE,Lurvey Spring Brook (Echo Lake inlet),44.31145096,68.33583069,5/13/2010,3192,2010,,0.45,6.92,11.66,95.8,6.38,69,,0.366,6.96,146.00,22,,3.3,<MRL 0.1,,<MRL 0.005,<MRL 0.08,,,
NETNStreams,ACAD,ACLSIE,Lurvey Spring Brook (Echo Lake inlet),44.31145096,68.33583069,5/13/2010,3192,2010,,0.45,6.92,11.66,95.8,6.38,69,,0.366,6.89,146.00,22,,3,<MRL 0.1,,<MRL 0.005,<MRL 0.08,,,
NETNStreams,ACAD,ACLSIE,Lurvey Spring Brook (Echo Lake inlet),0,0,6/14/2010,3205,2010,,0.18,10.9,10.58,95.8,6.4,65,,0.356,,,,,,,,,,,,
NETNStreams,ACAD,ACLSIE,Lurvey Spring Brook (Echo Lake inlet),44.31231308,-68.33555603,7/15/2010,3219,2010,,0.21,16.51,8.83,90.5,5.76,46,,1.49,,,,,,,,,,,,
NETNStreams,ACAD,ACLSIE,Lurvey Spring Brook (Echo Lake inlet),44.31139755,-68.33586884,8/3/2010,3272,2010,,0.31,13.06,9.78,92.9,6.37,71,,0.468,6.68,159.00,35,,6.1,0.103,,<MRL 0.005,<MRL 0.08,,,
NETNStreams,ACAD,ACLSIE,Lurvey Spring Brook (Echo Lake inlet),0,0,9/8/2010,3281,2010,,-0.02,14.38,9.71,95,6.39,70,,0.344,,,,,,,,,,,,
NETNStreams,ACAD,ACLSIE,Lurvey Spring Brook (Echo Lake inlet),0,0,10/13/2010,3303,2010,,0.17,8.66,10.39,89.2,6.23,69,,0.389,,,,,,,,,,,,
NETNStreams,ACAD,ACLSIE,Lurvey Spring Brook (Echo Lake inlet),44.310463,-68.33567,5/24/2011,3355,2011,,0.08,8.86,10.39,89.6,5.8,50,,2.26,5.98,42.70,53,,4.1,0.148,,<MRL 0.005,<MRL 0.08,,,
NETNStreams,ACAD,ACLSIE,Lurvey Spring Brook (Echo Lake inlet),0,0,6/6/2011,3365,2011,,0.23,10.6,10.34,92.9,6.3,68,,0.547,,,,,,,,,,,,
NETNStreams,ACAD,ACLSIE,Lurvey Spring Brook (Echo Lake inlet),0,0,7/14/2011,3379,2011,,0.15,12.83,9.8,92.7,6.15,77,,0.222,,,,,,,,,,,,
NETNStreams,ACAD,ACLSIE,Lurvey Spring Brook (Echo Lake inlet),0,0,8/2/2011,3422,2011,,-0.06,13.43,9.29,89,6.47,75,,0.103,6.76,194.00,30,,6.6,0.114,,<MRL 0.005,<MRL 0.08,,,
NETNStreams,ACAD,ACLSIE,Lurvey Spring Brook (Echo Lake inlet),0,0,9/14/2011,3439,2011,,0.01,14.69,9.23,90.9,6.64,78,,0.102,,,,,,,,,,,,
NETNStreams,ACAD,ACLSIE,Lurvey Spring Brook (Echo Lake inlet),44.31044,-68.335808,10/4/2011,3445,2011,,0.11,13.38,9.29,88.9,5.37,51,,2.227,,,,,,,,,,,,
NETNStreams,ACAD,ACLSIE,Lurvey Spring Brook (Echo Lake inlet),44.3103,-68.3356,5/16/2013,3609,2013,,0.33,8.91,10.82,93.4,6.21,52,0.28,0.754,6.4,84.10,40,4.14,4.5,0.11,<MRL,<MRL 0.005,<MRL 0.08,<MRL 1,350,75
NETNStreams,ACAD,ACLSIE,Lurvey Spring Brook (Echo Lake inlet),44.3103,-68.3355,6/10/2013,3634,2013,,0.30,11.69,9.97,91.8,5.84,48,0.17,1.507,,,,,,,,,,,,
NETNStreams,ACAD,ACLSIE,Lurvey Spring Brook (Echo Lake inlet),44.3104,68.3355,7/15/2013,3657,2013,,0.10,13.65,9.61,92.5,6.36,75,1.83,0.441,,,,,,,,,,,,
NETNStreams,ACAD,ACLSIE,Lurvey Spring Brook (Echo Lake inlet),44.3104,-68.3356,8/8/2013,3691,2013,,0.22,12.86,9.47,89.6,6.26,65,0.74,0.695,6.63,118.00,55,4.34,6.7,0.146,0.023,<MRL 0.005,<MRL 0.08,1.6,334,67
NETNStreams,ACAD,ACLSIE,Lurvey Spring Brook (Echo Lake inlet),44.3104,-68.3356,8/8/2013,3691,2013,,0.22,12.86,9.47,89.6,6.26,65,0.74,0.695,6.62,130.00,54,4.32,5.9,0.152,0.023,<MRL 0.005,<MRL 0.08,1.6,336,67
NETNStreams,ACAD,ACLSIE,Lurvey Spring Brook (Echo Lake inlet),44.3104,-68.3356,9/6/2013,3699,2013,,0.36,12.36,9.67,90.5,5.45,45,0.41,1.408,,,,,,,,,,,,
NETNStreams,ACAD,ACLSIE,Lurvey Spring Brook (Echo Lake inlet),44.3104,-68.3355,10/17/2013,3721,2013,,0.29,10.44,9.23,82.7,6.25,74,0.49,0.177,,,,,,,,,,,,
NETNStreams,ACAD,ACLSIE,Lurvey Spring Brook (Echo Lake inlet),44.3104,-68.3355,5/7/2015,5006,2015,,0.34,7.51,11.14,92.9,5.95,78,0.16,0.673,6.572,88.04,21,1.9,<MRL 1,0.075,<MRL,<MRL 0.001,0.025,<MRL 1,487.248714285714,74.1339583333333
NETNStreams,ACAD,ACLSIE,Lurvey Spring Brook (Echo Lake inlet),44.3103,-68.3355,6/4/2015,5014,2015,,0.42,8.34,11.07,94.2,6.06,70,0.25,0.659,,,,,,,,,,,,
NETNStreams,ACAD,ACLSIE,Lurvey Spring Brook (Echo Lake inlet),44.3103,-68.3355,7/6/2015,5022,2015,,0.27,11.9,9.73,90.1,5.66,78,0.27,0.399,,,,,,,,,,,,
NETNStreams,ACAD,ACLSIE,Lurvey Spring Brook (Echo Lake inlet),44.3104,-68.3356,8/10/2015,4910,2015,,0.33,12.09,9.86,91.7,5.97,90,0.57,0.164,6.761,190.53,16.764,1.4,7.6,0.07,0.032,<MRL 0.001,<MRL 0.010,2.3,513.7,89.4
NETNStreams,ACAD,ACLSIE,Lurvey Spring Brook (Echo Lake inlet),44.3103,-68.3355,9/9/2015,4919,2015,,0.18,14.47,9.35,91.7,6.26,89,0.49,0.131,,,,,,,,,,,,
NETNStreams,ACAD,ACLSIE,Lurvey Spring Brook (Echo Lake inlet),44.3104,-68.3355,10/5/2015,4927,2015,,0.25,8.83,10.74,92.5,6.15,74,0.28,0.214,,,,,,,,,,,,
NETNStreams,ACAD,ACMOWB,Man o'War Brook,0,0,5/7/2007,86,2007,,0.34,6.59,11.92,97.2,5.66,38,,0.298,6.41,68.00,18,,3.7,0.129,,0.001,<MRL 0.02,,,
NETNStreams,ACAD,ACMOWB,Man o'War Brook,0,0,6/29/2007,92,2007,,0.08,16.23,8.9,90.6,6.28,37,,0.019,,,,,,,,,,,,
NETNStreams,ACAD,ACMOWB,Man o'War Brook,0,0,7/26/2007,107,2007,,0.13,19.99,8.36,92,6.27,52,,,,,,,,,,,,,,
NETNStreams,ACAD,ACMOWB,Man o'War Brook,0,0,8/13/2007,117,2007,,-0.04,17.37,8.64,90.1,5.94,53,,0.046,6.88,200.00,28,,15,0.23,,0.001,<MRL 0.02,,,
NETNStreams,ACAD,ACMOWB,Man o'War Brook,0,0,8/13/2007,117,2007,,-0.04,17.37,8.64,90.1,5.94,53,,0.046,6.87,200.00,26,,,,,<MRL 0.002,<MRL 0.02,,,
NETNStreams,ACAD,ACMOWB,Man o'War Brook,0,0,8/13/2007,117,2007,,-0.03,17.39,8.74,91.1,6.26,53,,0.046,6.88,200.00,28,,15,0.23,,0.001,<MRL 0.02,,,
NETNStreams,ACAD,ACMOWB,Man o'War Brook,0,0,8/13/2007,117,2007,,-0.03,17.39,8.74,91.1,6.26,53,,0.046,6.87,200.00,26,,,,,<MRL 0.002,<MRL 0.02,,,
NETNStreams,ACAD,ACMOWB,Man o'War Brook,0,0,9/17/2007,126,2007,,0.08,11.5,10.47,96.1,6.02,57,,,,,,,,,,,,,,
NETNStreams,ACAD,ACMOWB,Man o'War Brook,0,0,9/19/2007,123,2007,,0.05,11.5,9.7,89,6.05,57,,,,,,,,,,,,,,
NETNStreams,ACAD,ACMOWB,Man o'War Brook,0,0,10/15/2007,137,2007,,0.06,9.02,10.62,91.9,6.35,56,,0.131,,,,,,,,,,,,
NETNStreams,ACAD,ACMOWB,Man o'War Brook,44.318184,-68.316849,5/13/2009,3088,2009,,0.42,9.88,10.93,96.6,6.42,43,,0.293,6.62,89.40,21,,3.9,0.102,,<MRL 0.005,<MRL 0.08,,,
NETNStreams,ACAD,ACMOWB,Man o'War Brook,44.318157,-68.316956,6/2/2009,3095,2009,,0.05,10.26,10.62,94.7,6.34,40,,0.453,,,,,,,,,,,,
NETNStreams,ACAD,ACMOWB,Man o'War Brook,44.318115,-68.316841,7/13/2009,3112,2009,,0.24,14.08,9.44,91.8,6.39,36,,0.371,,,,,,,,,,,,
NETNStreams,ACAD,ACMOWB,Man o'War Brook,44.318218,-68.316833,8/3/2009,3113,2009,,0.18,16.04,9.19,93.2,6.32,37,,0.445,6.68,122.00,37,,6.9,0.151,,<MRL 0.005,<MRL 0.08,,,
NETNStreams,ACAD,ACMOWB,Man o'War Brook,0,0,9/2/2009,3124,2009,,0.32,13.99,9.66,93.7,6.16,34,,0.545,,,,,,,,,,,,
NETNStreams,ACAD,ACMOWB,Man o'War Brook,44.31823,-68.316887,10/8/2009,3140,2009,,0.16,10.65,10.64,95.7,6.29,39,,0.49,,,,,,,,,,,,
NETNStreams,ACAD,ACMRSL,Marshall Brook,,,5/24/2006,63,2006,,0.30,12.87,10.76,101.8,7.13,98,,2.27,,,,,,,,,,,,
NETNStreams,ACAD,ACMRSL,Marshall Brook,0,0,6/27/2006,11,2006,,0.30,14.88,9.43,93.3,6.6,86,,6.37,,,88,,<MRL 20,0.37,,<MRL 0.002,0.007,,,
NETNStreams,ACAD,ACMRSL,Marshall Brook,44.274578,-68.351471,7/25/2006,19,2006,,0.15,16.77,8.85,91.2,6.44,67,,5.58,,,,,,,,,,,,
NETNStreams,ACAD,ACMRSL,Marshall Brook,0,0,8/31/2006,29,2006,,0.11,13.34,10.42,99.7,6.79,114,,0.842,,,80,,10,0.39,,0.001,0.007,,,
NETNStreams,ACAD,ACMRSL,Marshall Brook,0,0,9/12/2006,44,2006,,0.05,12.64,10.53,99.1,6.83,120,,0.708,,,,,,,,,,,,
NETNStreams,ACAD,ACMRSL,Marshall Brook,44.274727,68.351494,10/18/2006,51,2006,,-0.02,9.59,10.71,94,6.15,97,,5.2,,,,,,,,,,,,
NETNStreams,ACAD,ACMRSL,Marshall Brook,44.274853,-68.351547,5/21/2008,155,2008,,-0.21,14.33,10.41,101.8,7.16,56,,1.5,7.22,284.00,61,,6.3,0.257,,<MRL 0.005,,,,
NETNStreams,ACAD,ACMRSL,Marshall Brook,44.274643,-68.35154,6/5/2008,159,2008,,0.24,13.86,10.47,101.3,6.95,94,,2.07,,,,,,,,,,,,
NETNStreams,ACAD,ACMRSL,Marshall Brook,44.274792,-68.351387,7/3/2008,171,2008,,0.08,16.42,9.5,97.1,7.11,123,,0.621,,,,,,,,,,,,
NETNStreams,ACAD,ACMRSL,Marshall Brook,44.274632,-68.351524,8/7/2008,191,2008,,0.08,15.54,9.39,94.2,6.51,66,,3.4,6.64,174.00,180,,11,0.444,,<MRL 0.005,,,,
NETNStreams,ACAD,ACMRSL,Marshall Brook,0,0,9/10/2008,200,2008,,0.31,14.93,9.14,90.5,6.15,57,,6.08,,,,,,,,,,,,
NETNStreams,ACAD,ACMRSL,Marshall Brook,44.274643,-68.351578,10/15/2008,219,2008,,0.21,10.31,10.8,96.4,6.53,90,,1.56,,,,,,,,,,,,
NETNStreams,ACAD,ACMRSL,Marshall Brook,44.27482986,-68.35151672,5/17/2010,3193,2010,,0.35,11.83,11.17,103.3,7.22,114,,0.814,7.55,377.00,42,,6.2,0.235,,<MRL 0.005,<MRL 0.08,,,
NETNStreams,ACAD,ACMRSL,Marshall Brook,0,0,6/7/2010,3199,2010,,0.03,13.19,9.35,89.1,6.27,56,,16.8,,,,,,,,,,,,
NETNStreams,ACAD,ACMRSL,Marshall Brook,0,0,7/15/2010,3218,2010,,0.11,17.78,8.73,91.8,6.42,73,,8.68,,,,,,,,,,,,
NETNStreams,ACAD,ACMRSL,Marshall Brook,0,0,8/12/2010,3279,2010,,0.28,17.06,9.4,97.4,6.99,110,,0.713,7.33,349.00,72,,10,0.325,,<MRL 0.005,<MRL 0.08,,,
NETNStreams,ACAD,ACMRSL,Marshall Brook,0,0,9/15/2010,3291,2010,,0.05,14.75,9.83,96.9,6.82,85,,2.85,,,,,,,,,,,,
NETNStreams,ACAD,ACMRSL,Marshall Brook,44.27479172,-68.35151672,10/12/2010,3302,2010,,0.06,8.54,11.4,97.6,6.85,87,,1.152,,,,,,,,,,,,
NETNStreams,ACAD,ACMRSL,Marshall Brook,0,0,5/30/2012,3466,2012,,-0.02,12.49,10.43,97.9,6.98,106,0.6,,7.15,35.30,98,8.39,8.4,0.402,0.130,<MRL 0.005,<MRL 0.08,9.2,474,94
NETNStreams,ACAD,ACMRSL,Marshall Brook,0,0,6/27/2012,3475,2012,,0.17,14.38,9.3,91,6.39,62,1.21,8.81,,,,,,,,,,,,
NETNStreams,ACAD,ACMRSL,Marshall Brook,44.27459717,68.56666565,7/17/2012,3489,2012,,0.22,17.67,8.75,91.8,7.14,126,1.46,1.06,,,,,,,,,,,,
NETNStreams,ACAD,ACMRSL,Marshall Brook,44.27487183,-68.35147095,8/2/2012,3525,2012,,0.04,17.01,9.24,95.6,6.91,130,1.88,1.61,7.23,388.00,129,11.5,15,0.494,0.069,<MRL 0.005,<MRL 0.08,4.9,602,109
NETNStreams,ACAD,ACMRSL,Marshall Brook,44.27490234,-68.35141754,9/13/2012,3544,2012,,0.11,13.97,10.3,99.9,6.89,94,1.41,0.585,,,,,,,,,,,,
NETNStreams,ACAD,ACMRSL,Marshall Brook,44.27494812,-68.35140228,10/1/2012,3549,2012,,-0.07,13.39,9.61,92,6.07,61,1.77,12.268,,,,,,,,,,,,
NETNStreams,ACAD,ACMRSL,Marshall Brook,44.2749,-68.3514,5/19/2014,231,2014,,0.21,9.61,11.25,98.8,,108,0.58,3.249,7.1,324.00,74,6.41,6.6,0.298,0.089,<MRL 0.005,<MRL 0.08,6.3,506,91
NETNStreams,ACAD,ACMRSL,Marshall Brook,44.2748,-68.3517,6/9/2014,240,2014,,0.22,14.98,10.41,103.2,7.18,104,0.62,1.529,,,,,,,,,,,,
NETNStreams,ACAD,ACMRSL,Marshall Brook,44.2747,-68.3514,7/15/2014,251,2014,,0.06,16.7,9.1,93.5,6.81,96,1.35,,,,,,,,,,,,,
NETNStreams,ACAD,ACMRSL,Marshall Brook,44.2748,-68.3515,8/7/2014,260,2014,,0.18,15.91,9.67,97.8,7.11,119,1.35,1.426,7.28,392.60,90,6.54,11.6,0.294,0.055,<MRL 0.001,0.035,3.9,635,77
NETNStreams,ACAD,ACMRSL,Marshall Brook,44.2748,-68.3515,8/7/2014,260,2014,,0.18,15.91,9.67,97.8,7.11,119,1.35,1.426,7.3,393.47,92,6.46,12.7,0.329,0.047,<MRL 0.001,0.027,3.3,629,76
NETNStreams,ACAD,ACMRSL,Marshall Brook,,,9/4/2014,266,2014,,0.11,14.94,9.98,98.9,7.13,126,1.3,0.392,,,,,,,,,,,,
NETNStreams,ACAD,ACMRSL,Marshall Brook,44.2748,-68.3514,10/9/2014,282,2014,,0.16,10.14,10.61,94.3,6.86,130,2.07,0.703,,,,,,,,,,,,
NETNStreams,ACAD,ACOTRC,Otter Creek,,,5/31/2006,76,2006,,0.05,13.53,10.06,96.6,6.63,33,,0.94,,,,,,,,,,,,
NETNStreams,ACAD,ACOTRC,Otter Creek,0,0,6/28/2006,3,2006,,0.26,17.33,9.32,97.1,6.56,28,,1.6,,,8,,<MRL 20,0.04,,<MRL 0.002,<MRL 0.01,,,
NETNStreams,ACAD,ACOTRC,Otter Creek,44.332813,-68.206848,7/25/2006,23,2006,,0.20,19.96,8.84,97.1,6.46,26,,2.15,,,,,,,,,,,,
NETNStreams,ACAD,ACOTRC,Otter Creek,0,0,8/29/2006,26,2006,,-0.03,13.83,10,96.6,6.14,35,,0.51,,,15,,4,0.08,,<MRL 0.002,0.006,,,
NETNStreams,ACAD,ACOTRC,Otter Creek,0,0,9/13/2006,38,2006,,0.02,13.12,10.16,96.7,6.47,36,,0.32,,,,,,,,,,,,
NETNStreams,ACAD,ACOTRC,Otter Creek,44.332821,-68.206818,10/19/2006,53,2006,,0.16,11.75,10.65,98.2,5.89,32,,4.3,,,,,,,,,,,,
NETNStreams,ACAD,ACOTRC,Otter Creek,0,0,5/9/2007,79,2007,,0.34,13.24,10.91,104.1,6.3,35,,1.4,6.52,63.70,8,,1.7,<MRL 0.1,,<MRL 0.002,<MRL 0.02,,,
NETNStreams,ACAD,ACOTRC,Otter Creek,0,0,5/9/2007,79,2007,,0.34,12.92,10.42,98.7,6.12,35,,1.4,6.52,63.70,8,,1.7,<MRL 0.1,,<MRL 0.002,<MRL 0.02,,,
NETNStreams,ACAD,ACOTRC,Otter Creek,0,0,6/22/2007,95,2007,,0.20,14.91,9.89,97.9,5.85,40,,0.47,,,,,,,,,,,,
NETNStreams,ACAD,ACOTRC,Otter Creek,0,0,7/24/2007,101,2007,,0.14,17.32,9.36,97.5,6.26,49,,0.25,,,,,,,,,,,,
NETNStreams,ACAD,ACOTRC,Otter Creek,0,0,8/8/2007,120,2007,,0.01,15.31,9.05,90.3,5.53,45,,0.51,,,,,,0.182,,,,,,
NETNStreams,ACAD,ACOTRC,Otter Creek,0,0,8/8/2007,120,2007,,0.01,15.31,9.05,90.3,5.53,45,,0.51,6.8,172.00,37,,7.7,0.163,,0.001,0.015,,,
NETNStreams,ACAD,ACOTRC,Otter Creek,0,0,9/12/2007,132,2007,,-0.10,14.7,9.72,95.8,6.05,49,,0.21,,,,,,,,,,,,
NETNStreams,ACAD,ACOTRC,Otter Creek,0,0,10/2/2007,144,2007,,0.25,11.97,10.68,99,,58,,0.11,7.23,,,,,,,,,,,
